date, content
"2025-3", "<span style='font-weight:600;'>Discrete Mathematics</span> — Practical Sessions<br><i>Universitat Pompeu Fabra</i>"
"2024-3", "<span style='font-weight:600;'>Discrete Mathematics</span> — Practical Sessions<br><i>Universitat Pompeu Fabra</i>"
"2024-3", "<span style='font-weight:600;'>Signal Processing</span> — Laboratory Sessions<br><i>Universitat Pompeu Fabra</i>"
"2023-1", "<span style='font-weight:600;'>Calculus III</span> — Core Lectures<br><i>Engineering Faculty, Universidad de Santiago de Chile</i>"
"2023-1", "<span style='font-weight:600;'>Calculus III</span> — Practical Sessions<br><i>PAIEP, Universidad de Santiago de Chile</i>"
"2023-1", "<span style='font-weight:600;'>Calculus II</span> — Practical Sessions<br><i>PAIEP, Universidad de Santiago de Chile</i>"
"2023-1", "<span style='font-weight:600;'>Linear Algebra</span> — Practical Sessions<br><i>PAIEP, Universidad de Santiago de Chile</i>"
"2022-2", "<span style='font-weight:600;'>Calculus III</span> — Core Lectures<br><i>Engineering Faculty, Universidad de Santiago de Chile</i>"
"2022-2", "<span style='font-weight:600;'>Calculus II</span> — Core Lectures<br><i>Engineering Faculty, Universidad de Santiago de Chile</i>"
"2022-1", "<span style='font-weight:600;'>Calculus III</span> — Core Lectures<br><i>Engineering Faculty, Universidad de Santiago de Chile</i>"
"2022-1", "<span style='font-weight:600;'>Calculus II</span> — Core Lectures<br><i>Engineering Faculty, Universidad de Santiago de Chile</i>"
"2021-2", "<span style='font-weight:600;'>Linear Algebra</span> — Core Lectures<br><i>Engineering Faculty, Pontificia Universidad Católica de Chile</i>"
"2021-1", "<span style='font-weight:600;'>Linear Algebra</span> — Core Lectures<br><i>Engineering Faculty, Pontificia Universidad Católica de Chile</i>"
"2021-1", "<span style='font-weight:600;'>Mathematics for Medical Studies</span> — Practical Sessions<br><i>Medical School, Universidad de Chile</i>"
"2020-1", "<span style='font-weight:600;'>Ordinary Differential Equations</span> — Core Lectures<br><i>Engineering Faculty, Pontificia Universidad Católica de Chile</i>"
"2019-2", "<span style='font-weight:600;'>Functional Analysis</span> — Practical Sessions<br><i>Mathematics Faculty, Pontificia Universidad Católica de Chile</i>"
"2019-1", "<span style='font-weight:600;'>Calculus I</span> — Practical Sessions<br><i>Mathematics Faculty, Pontificia Universidad Católica de Chile</i>"
"2019-1", "<span style='font-weight:600;'>Calculus II</span> — Practical Sessions<br><i>Agronomy Faculty, Pontificia Universidad Católica de Chile</i>"
"2018-2", "<span style='font-weight:600;'>Applied Stochastic Processes</span> — Practical Sessions<br><i>Mathematics Faculty, Pontificia Universidad Católica de Chile</i>"
"2018-1", "<span style='font-weight:600;'>Probabilistic Models</span> — Practical Sessions<br><i>Mathematics Faculty, Pontificia Universidad Católica de Chile</i>"
"2018-1", "<span style='font-weight:600;'>Calculus I</span> — Laboratory Sessions<br><i>Engineering Faculty, Pontificia Universidad Católica de Chile</i>"
"2017-2", "<span style='font-weight:600;'>Applied Stochastic Processes</span> — Practical Sessions<br><i>Mathematics Faculty, Pontificia Universidad Católica de Chile</i>"
"2016-2", "<span style='font-weight:600;'>Calculus II</span> — Practical Sessions<br><i>Economy Faculty, Pontificia Universidad Católica de Chile</i>"
"2016-1", "<span style='font-weight:600;'>Introduction to Geometry</span> — Practical Sessions<br><i>Engineering Faculty, Pontificia Universidad Católica de Chile</i>"
"2015-1", "<span style='font-weight:600;'>Introduction to Algebra</span> — Practical Sessions<br><i>College, Pontificia Universidad Católica de Chile</i>"
"2015-1", "<span style='font-weight:600;'>Introduction to Calculus</span> — Practical Sessions<br><i>College, Pontificia Universidad Católica de Chile</i>"
